image_id,label,held_out_split,cv_test_fold
img_9856bbcd3478,0,train,1
img_f8c16f57133c,0,test,2
img_39e6afad3cd0,0,train,3
img_1a7cf53ecb24,0,train,5
img_af1022af2cfa,0,val,4
img_f839d122cdf6,0,test,1
img_a255618fc38a,0,train,2
img_fa251c32b9a0,0,train,3
img_6e73fb88774b,0,train,4
img_6763acd285b4,0,train,5
img_0a3831864078,0,test,1
img_6060e78fe84d,0,train,2
img_2de0f7deb541,0,train,4
img_b5633c9bba26,0,val,3
img_2a3f5892e14e,0,train,5
img_d869d15e07f4,0,test,3
img_80ffc7ca33a2,0,train,1
img_575e7032c238,0,train,2
img_f5dd03dac0ae,0,val,5
img_25bde8eb9ceb,0,train,4
img_c4749bcb91ce,0,train,1
img_23fdf5ddb2cb,0,train,3
img_56169f62d42c,0,train,2
img_87823d63cf81,0,val,4
img_b15ad2445257,0,train,5
img_589d4a09ac25,0,train,2
img_d2f1470b4013,0,train,1
img_47a18edb05e7,0,train,3
img_70ffc05869b2,0,train,4
img_aa0007fbc1fe,0,train,5
img_16a24738a2e9,0,train,2
img_2f333186034c,0,train,3
img_31c47612e472,0,val,1
img_e7bc6557cef1,0,train,4
img_22aaf84e453a,0,test,5
img_28a31a18702a,0,train,2
img_dff4f4a64172,0,train,1
img_2686033381fb,0,train,4
img_48128bc95c70,0,train,3
img_e9ef39501d40,0,val,5
img_4e1752ee1de6,0,train,1
img_ac4f235ad53e,0,test,2
img_81bac47271b0,0,test,3
img_ee83ca30fe52,0,val,4
img_932f46a8b20c,0,train,5
img_ed50ff37d24e,0,train,3
img_0f08772aeab3,0,train,5
img_bdfe5dd11b87,0,train,1
img_89ddf4777cfa,0,train,2
img_616dc4f2f62d,0,test,4
img_85f48226a03a,0,train,1
img_90b4eb2ad88d,0,train,4
img_944744162702,0,val,2
img_dfecbcc88795,0,train,5
img_1167b6edd056,0,train,3
img_0241b0c6e619,0,train,1
img_09185e8d7ebb,0,train,4
img_199507102adc,0,test,5
img_da173324fde3,0,train,2
img_05e4f17b4592,0,train,3
img_bc5cc2e55482,0,train,1
img_9b9b50fbecf5,0,train,4
img_a9f8ef9a2ea5,0,train,2
img_10358b94bbb7,0,test,5
img_3471034ce0a0,0,train,3
img_6f245d8c99da,0,test,3
img_f12ffe6a3d7c,0,train,1
img_40b7a9e5ea94,0,train,2
img_3d4e9f6f29ec,0,train,4
img_2f46c47bd9f4,0,test,5
img_5f811e40e413,0,train,5
img_87730c51e3b1,0,train,1
img_d469f5e6638a,0,train,2
img_ca9b5ccf7b91,0,train,3
img_a5056c8ea7f6,0,train,4
img_c034a6818d9f,0,train,1
img_e97ef51bc402,0,test,2
img_659dab08ed87,0,train,3
img_8795cd84f07d,0,val,5
img_80fbe7cfd043,0,train,4
img_832a16272812,0,train,4
img_05ac606c22e4,0,val,1
img_c98f191126df,0,train,2
img_0d18ff30daa2,0,train,3
img_df05456988eb,0,train,5
img_1f3e8917ad54,0,train,1
img_c15ecd20d0b0,0,train,2
img_e834ce61d171,0,val,5
img_38952810a61f,0,train,3
img_f82428f8b2d3,0,train,4
img_04de09d3b810,0,train,3
img_a8cfbe7f76cc,0,train,1
img_98a823d9fb6a,0,train,2
img_7da4d5a75eba,0,val,4
img_263802ef4525,0,val,5
img_e3d2f805697a,0,val,1
img_38f51c0fc391,0,train,2
img_e2eb0b1cdb57,0,train,3
img_bdb34aa811fb,0,train,4
img_b94d65dddd64,0,train,5
img_2e0e4331779f,0,train,1
img_afd5d37b0c1f,0,train,5
img_59419b5db8d9,0,test,2
img_1bc83688114e,0,train,3
img_305ef90e7603,0,train,4
img_a46789c99e2b,0,val,1
img_5e9cd4132df7,0,val,3
img_10f8345d979d,0,train,5
img_637e06d60cde,0,train,2
img_9301c34c5aa5,0,train,4
img_cc48f07af83d,0,train,1
img_182950a0ea32,0,test,3
img_9241ba41a4ac,0,val,4
img_27ef5f86910c,0,test,5
img_32fa18a7ac72,0,test,2
img_91e44e0daed3,0,train,2
img_c15cc888a247,0,train,1
img_23f0e7fe3f0b,0,test,3
img_ccf000e68094,0,train,4
img_62202440af06,0,train,5
img_927faf6dc997,0,train,3
img_ce14f2626ed1,0,train,4
img_b0dd3f89aa24,0,val,1
img_137a58535878,0,test,2
img_0c787e196ef1,0,train,5
img_20127a4474d9,0,train,1
img_503466bd316f,0,train,3
img_a0ceaf760217,0,train,4
img_4fbfd83221bc,0,train,2
img_66ef44122f20,0,train,5
img_6aa402d10a05,0,train,5
img_cc9875b8c95e,0,train,1
img_8556417737ee,0,train,3
img_3a7464b68b71,0,train,4
img_a9dcd5d01495,0,train,2
img_58c664b5e23d,0,train,2
